Date,Open,High,Low,Close,Volume
31-Oct-12,5.58,5.58,5.58,5.58,7000
16-Oct-12,6.70,6.70,6.70,6.70,3450
3-Oct-12,6.70,6.70,6.70,6.70,190
2-Oct-12,6.70,6.70,6.70,6.70,100
18-Sep-12,5.60,5.60,5.60,5.60,100
17-Sep-12,5.55,5.55,5.55,5.55,350
14-Sep-12,5.85,5.85,5.85,5.85,4000
4-Sep-12,6.15,6.15,6.15,6.15,100
27-Aug-12,6.29,6.29,6.29,6.29,983
17-Aug-12,7.50,7.50,7.50,7.50,1500
15-Aug-12,7.60,7.60,7.60,7.60,200
14-Aug-12,7.51,7.51,7.51,7.51,600
13-Aug-12,7.40,7.48,7.40,7.48,1050
6-Aug-12,6.85,6.85,6.85,6.85,120
2-Aug-12,6.60,6.60,6.60,6.60,100
30-Jul-12,6.70,6.70,6.70,6.70,500
27-Jul-12,6.90,6.90,6.90,6.90,500
16-Jul-12,6.87,6.90,6.75,6.75,5133
10-Jul-12,6.85,6.85,6.85,6.85,2000
6-Jul-12,6.67,6.67,6.67,6.67,200
5-Jul-12,6.96,6.96,6.96,6.96,10004
3-Jul-12,7.12,7.20,7.12,7.20,1020
2-Jul-12,7.10,7.10,7.10,7.10,1000
29-Jun-12,6.88,6.88,6.85,6.88,5800
28-Jun-12,6.97,6.97,6.97,6.97,100
22-Jun-12,7.15,7.15,7.15,7.15,300
19-Jun-12,6.70,6.75,6.70,6.75,450
15-Jun-12,6.50,6.50,6.50,6.50,290
14-Jun-12,6.40,6.55,6.40,6.55,1050
13-Jun-12,6.25,6.25,6.25,6.25,500
7-Jun-12,6.60,6.60,6.60,6.60,1300
1-Jun-12,6.30,6.55,6.30,6.55,1200
31-May-12,6.75,6.75,6.58,6.70,1740
30-May-12,6.75,6.80,6.46,6.46,20506
29-May-12,6.80,7.30,6.80,7.30,11060
22-Mar-12,6.08,6.08,6.08,6.08,500
16-Feb-12,5.99,5.99,5.99,5.99,125
9-Feb-12,5.40,5.40,5.40,5.40,0
1-Feb-12,5.15,5.15,5.15,5.15,0
12-Jan-12,4.90,4.90,4.90,4.90,0
11-Jan-12,4.83,4.83,4.83,4.83,500
5-Jan-12,5.10,5.10,5.10,5.10,0
6-Dec-11,5.05,5.05,5.05,5.05,0
1-Dec-11,5.35,5.35,5.35,5.35,0
29-Nov-11,5.07,5.07,5.07,5.07,0
23-Nov-11,5.10,5.10,5.10,5.10,0
9-Nov-11,4.63,4.63,4.63,4.63,0
